movieId,title,genres,primary_genre,year
1,Toy Story (1995),Animation,Animation,1996
2,GoldenEye (1995),Action,Action,1996
3,Four Rooms (1995),Thriller,Thriller,1996
4,Get Shorty (1995),Comedy,Comedy,1996
5,Copycat (1995),Crime,Crime,1996
6,Shanghai Triad (1995),Drama,Drama,1996
7,Twelve Monkeys (1995),Sci-Fi,Sci-Fi,1996
8,Babe (1995),Childrens,Childrens,1996
9,Dead Man Walking (1995),Drama,Drama,1996
10,Richard III (1995),Drama,Drama,1996
11,Seven (Se7en) (1995),Crime,Crime,1996
12,"Usual Suspects, The (1995)",Crime,Crime,1996
13,Mighty Aphrodite (1995),Comedy,Comedy,1996
14,"Postino, Il (1994)",Romance,Romance,1996
15,Mr. Holland's Opus (1995),Drama,Drama,1996
16,French Twist (1995),Comedy,Comedy,1996
17,From Dusk Till Dawn (1996),Horror,Horror,1996
18,"White Balloon, The (1995)",Drama,Drama,1996
19,Antonia's Line (1995),Drama,Drama,1996
20,Angels and Insects (1995),Drama,Drama,1996
21,Muppet Treasure Island (1996),Comedy,Comedy,1996
22,Braveheart (1995),Action,Action,1996
23,Batman Forever (1995),Action,Action,1996
24,Ace Ventura: Pet Detective (1994),Comedy,Comedy,1996
25,Mary Shelley's Frankenstein (1994),Horror,Horror,1996
26,"Shawshank Redemption, The (1994)",Drama,Drama,1996
27,Forrest Gump (1994),Drama,Drama,1996
28,Pulp Fiction (1994),Crime,Crime,1996
29,"Silence of the Lambs, The (1991)",Thriller,Thriller,1996
30,Schindler's List (1993),Drama,Drama,1996
31,Star Wars (1977),Sci-Fi,Sci-Fi,1996
32,Raiders of the Lost Ark (1981),Action,Action,1996
33,Fargo (1996),Crime,Crime,1996
34,GoodFellas (1990),Crime,Crime,1996
35,Back to the Future (1985),Sci-Fi,Sci-Fi,1996
36,Jurassic Park (1993),Sci-Fi,Sci-Fi,1996
37,Titanic (1997),Romance,Romance,1996
38,Groundhog Day (1993),Comedy,Comedy,1996
39,Speed (1994),Action,Action,1996
40,Léon (The Professional) (1994),Action,Action,1996
41,Die Hard (1988),Action,Action,1996
42,Home Alone (1990),Comedy,Comedy,1996
43,Terminator 2: Judgment Day (1991),Action,Action,1996
44,"Lion King, The (1994)",Animation,Animation,1996
45,Aladdin (1992),Animation,Animation,1996
46,Beauty and the Beast (1991),Animation,Animation,1996
47,Schindler's List (1993),Drama,Drama,1996
48,Trainspotting (1996),Drama,Drama,1996
49,Reservoir Dogs (1992),Crime,Crime,1996
50,Monty Python and the Holy Grail (1975),Comedy,Comedy,1996
51,Movie 51 (1996),Western,Western,1996
52,Movie 52 (1997),Musical,Musical,1996
53,Movie 53 (1998),Adventure,Adventure,1996
54,Movie 54 (1990),Film-Noir,Film-Noir,1996
55,Movie 55 (1991),Childrens,Childrens,1996
56,Movie 56 (1992),Romance,Romance,1996
57,Movie 57 (1993),Thriller,Thriller,1996
58,Movie 58 (1994),Sci-Fi,Sci-Fi,1996
59,Movie 59 (1995),Drama,Drama,1996
60,Movie 60 (1996),Romance,Romance,1996
61,Movie 61 (1997),Drama,Drama,1996
62,Movie 62 (1998),Thriller,Thriller,1996
63,Movie 63 (1990),Mystery,Mystery,1996
64,Movie 64 (1991),Western,Western,1996
65,Movie 65 (1992),Sci-Fi,Sci-Fi,1996
66,Movie 66 (1993),Mystery,Mystery,1996
67,Movie 67 (1994),Fantasy,Fantasy,1996
68,Movie 68 (1995),Sci-Fi,Sci-Fi,1996
69,Movie 69 (1996),Mystery,Mystery,1996
70,Movie 70 (1997),Action,Action,1996
71,Movie 71 (1998),Documentary,Documentary,1996
72,Movie 72 (1990),Fantasy,Fantasy,1996
73,Movie 73 (1991),Action,Action,1996
74,Movie 74 (1992),Musical,Musical,1996
75,Movie 75 (1993),Drama,Drama,1996
76,Movie 76 (1994),Horror,Horror,1996
77,Movie 77 (1995),War,War,1996
78,Movie 78 (1996),Drama,Drama,1996
79,Movie 79 (1997),Animation,Animation,1996
80,Movie 80 (1998),Animation,Animation,1996
81,Movie 81 (1990),Action,Action,1996
82,Movie 82 (1991),Comedy,Comedy,1996
83,Movie 83 (1992),Film-Noir,Film-Noir,1996
84,Movie 84 (1993),Documentary,Documentary,1996
85,Movie 85 (1994),Fantasy,Fantasy,1996
86,Movie 86 (1995),Documentary,Documentary,1996
87,Movie 87 (1996),Fantasy,Fantasy,1996
88,Movie 88 (1997),Drama,Drama,1996
89,Movie 89 (1998),Musical,Musical,1996
90,Movie 90 (1990),Adventure,Adventure,1996
91,Movie 91 (1991),Action,Action,1996
92,Movie 92 (1992),Thriller,Thriller,1996
93,Movie 93 (1993),Comedy,Comedy,1996
94,Movie 94 (1994),Animation,Animation,1996
95,Movie 95 (1995),Musical,Musical,1996
96,Movie 96 (1996),Drama,Drama,1996
97,Movie 97 (1997),Animation,Animation,1996
98,Movie 98 (1998),Action,Action,1996
99,Movie 99 (1990),Animation,Animation,1996
100,Movie 100 (1991),Comedy,Comedy,1996
101,Movie 101 (1992),Sci-Fi,Sci-Fi,1996
102,Movie 102 (1993),Romance,Romance,1996
103,Movie 103 (1994),Animation,Animation,1996
104,Movie 104 (1995),Action,Action,1996
105,Movie 105 (1996),Comedy,Comedy,1996
106,Movie 106 (1997),Romance,Romance,1996
107,Movie 107 (1998),Documentary,Documentary,1996
108,Movie 108 (1990),Fantasy,Fantasy,1996
109,Movie 109 (1991),Sci-Fi,Sci-Fi,1996
110,Movie 110 (1992),Sci-Fi,Sci-Fi,1996
111,Movie 111 (1993),Film-Noir,Film-Noir,1996
112,Movie 112 (1994),Mystery,Mystery,1996
113,Movie 113 (1995),Documentary,Documentary,1996
114,Movie 114 (1996),War,War,1996
115,Movie 115 (1997),Childrens,Childrens,1996
116,Movie 116 (1998),Comedy,Comedy,1996
117,Movie 117 (1990),Documentary,Documentary,1996
118,Movie 118 (1991),Mystery,Mystery,1996
119,Movie 119 (1992),Sci-Fi,Sci-Fi,1996
120,Movie 120 (1993),Horror,Horror,1996
121,Movie 121 (1994),Childrens,Childrens,1996
122,Movie 122 (1995),Mystery,Mystery,1996
123,Movie 123 (1996),Documentary,Documentary,1996
124,Movie 124 (1997),Adventure,Adventure,1996
125,Movie 125 (1998),Film-Noir,Film-Noir,1996
126,Movie 126 (1990),Mystery,Mystery,1996
127,Movie 127 (1991),Crime,Crime,1996
128,Movie 128 (1992),Musical,Musical,1996
129,Movie 129 (1993),Musical,Musical,1996
130,Movie 130 (1994),Horror,Horror,1996
131,Movie 131 (1995),Documentary,Documentary,1996
132,Movie 132 (1996),Action,Action,1996
133,Movie 133 (1997),Action,Action,1996
134,Movie 134 (1998),Mystery,Mystery,1996
135,Movie 135 (1990),Fantasy,Fantasy,1996
136,Movie 136 (1991),Animation,Animation,1996
137,Movie 137 (1992),Documentary,Documentary,1996
138,Movie 138 (1993),Crime,Crime,1996
139,Movie 139 (1994),Drama,Drama,1996
140,Movie 140 (1995),Fantasy,Fantasy,1996
141,Movie 141 (1996),Comedy,Comedy,1996
142,Movie 142 (1997),Action,Action,1996
143,Movie 143 (1998),Film-Noir,Film-Noir,1996
144,Movie 144 (1990),Musical,Musical,1996
145,Movie 145 (1991),Sci-Fi,Sci-Fi,1996
146,Movie 146 (1992),Fantasy,Fantasy,1996
147,Movie 147 (1993),War,War,1996
148,Movie 148 (1994),War,War,1996
