userId,num_ratings,avg_rating
1,113,3.522620930415165
2,199,3.706006125156337
3,106,4.625598327044628
4,102,3.239027343921042
5,139,3.8069108278268677
6,98,2.553261292050769
7,87,4.16617318453239
8,96,2.496990455043826
9,73,4.00903188326086
10,97,3.4814450280309175
11,131,3.457608234356126
12,163,3.3498411692487013
13,123,2.7492484253647413
14,71,2.781037694078718
15,138,4.031912093623389
16,63,3.5371620681088327
17,103,3.3454659588912428
18,77,3.796038770381634
19,200,3.590786169932751
20,190,3.054241070036072
21,127,5.0
22,57,3.9744538271018643
23,99,3.606241144015733
24,59,3.221833218671636
25,165,4.101655813516514
26,172,3.0574592781643424
27,183,3.006935155418442
28,127,4.545995381444229
29,150,3.5484051056424253
30,208,3.0719904879709325
31,108,3.5334114188238064
32,101,4.040111932309025
33,171,3.9027526723731154
34,87,4.114557357851871
35,81,2.7802664583563117
36,133,4.099489497004907
37,86,3.422564734369312
38,71,3.5834604600223257
39,106,4.255696696186868
40,73,3.9516354039627735
41,161,3.740631488572807
42,71,2.3396019901118272
43,89,3.502698886771828
44,58,3.0591947674576994
45,137,3.9566271826384174
46,115,4.124574912221396
47,157,3.3487813863303417
48,120,3.1297751145267876
49,112,4.46378047730956
50,109,3.168111459791783
51,232,2.8132774957782485
52,162,3.0303973081886335
53,91,3.1970003671314737
54,80,3.013182168230271
55,231,4.0372348299668435
56,56,2.2112519326555935
57,233,3.0004637531326823
58,106,3.5015015327270818
59,104,3.6561477320013758
60,110,4.54510090251475
61,156,4.457142627658211
62,148,2.5695577064332746
63,73,2.385171235658252
64,162,3.5449827574225994
65,123,3.126088858122147
66,120,2.8147841948100885
67,90,3.5396725384763923
68,79,3.6684183910006607
69,134,3.0266189362134934
70,82,3.1555491529775033
71,106,3.07277508356741
72,78,3.2831052552672317
73,136,3.854866459633842
74,142,2.8832564833090477
75,62,3.1455890039014394
76,146,3.2904307141486986
77,71,3.5259485569069158
78,94,3.6955906957474833
79,180,4.755354704306475
80,107,3.873275430565034
81,133,3.8875588082234995
82,101,3.3700321920322778
83,71,2.9420805225815405
84,69,3.2130715910901304
85,123,3.1038005058710647
