userId,movieId,title,primary_genre,genres,predicted_rating
1,29,"Silence of the Lambs, The (1991)",Thriller,Thriller,4.0463
1,30,Schindler's List (1993),Drama,Drama,4.6546
1,12,"Usual Suspects, The (1995)",Crime,Crime,4.4957
1,26,"Shawshank Redemption, The (1994)",Drama,Drama,4.0062
1,1,Toy Story (1995),Animation,Animation|Childrens|Comedy,4.1139
1,34,GoodFellas (1990),Crime,Crime|Drama,4.3956
1,27,Forrest Gump (1994),Drama,Drama|Comedy|Romance,4.302
1,28,Pulp Fiction (1994),Crime,Crime,4.7343
1,33,Fargo (1996),Crime,Crime|Drama|Thriller,4.6813
1,31,Star Wars (1977),Sci-Fi,Action|Adventure|Sci-Fi,4.4895
2,26,"Shawshank Redemption, The (1994)",Drama,Drama,4.2439
2,33,Fargo (1996),Crime,Crime|Drama|Thriller,4.1348
2,12,"Usual Suspects, The (1995)",Crime,Crime,4.0165
2,29,"Silence of the Lambs, The (1991)",Thriller,Thriller,4.463
2,28,Pulp Fiction (1994),Crime,Crime,4.0586
2,1,Toy Story (1995),Animation,Animation|Childrens|Comedy,4.0404
2,31,Star Wars (1977),Sci-Fi,Action|Adventure|Sci-Fi,4.9886
2,27,Forrest Gump (1994),Drama,Drama|Comedy|Romance,4.7621
2,30,Schindler's List (1993),Drama,Drama,4.6979
2,34,GoodFellas (1990),Crime,Crime|Drama,4.7529
3,34,GoodFellas (1990),Crime,Crime|Drama,4.3683
3,12,"Usual Suspects, The (1995)",Crime,Crime,4.2935
3,31,Star Wars (1977),Sci-Fi,Action|Adventure|Sci-Fi,4.9159
3,27,Forrest Gump (1994),Drama,Drama|Comedy|Romance,4.2122
3,28,Pulp Fiction (1994),Crime,Crime,4.9562
3,26,"Shawshank Redemption, The (1994)",Drama,Drama,4.8923
3,29,"Silence of the Lambs, The (1991)",Thriller,Thriller,4.5566
3,30,Schindler's List (1993),Drama,Drama,4.4958
3,33,Fargo (1996),Crime,Crime|Drama|Thriller,4.2441
3,1,Toy Story (1995),Animation,Animation|Childrens|Comedy,3.822
4,31,Star Wars (1977),Sci-Fi,Action|Adventure|Sci-Fi,4.9374
4,33,Fargo (1996),Crime,Crime|Drama|Thriller,4.2406
4,29,"Silence of the Lambs, The (1991)",Thriller,Thriller,4.8892
4,28,Pulp Fiction (1994),Crime,Crime,4.1656
4,30,Schindler's List (1993),Drama,Drama,4.4519
4,26,"Shawshank Redemption, The (1994)",Drama,Drama,3.8246
4,1,Toy Story (1995),Animation,Animation|Childrens|Comedy,4.4263
4,12,"Usual Suspects, The (1995)",Crime,Crime,4.5643
4,34,GoodFellas (1990),Crime,Crime|Drama,4.0812
4,27,Forrest Gump (1994),Drama,Drama|Comedy|Romance,4.4947
5,1,Toy Story (1995),Animation,Animation|Childrens|Comedy,4.0729
5,12,"Usual Suspects, The (1995)",Crime,Crime,3.8037
5,28,Pulp Fiction (1994),Crime,Crime,4.1642
5,34,GoodFellas (1990),Crime,Crime|Drama,3.9303
5,27,Forrest Gump (1994),Drama,Drama|Comedy|Romance,4.3674
5,29,"Silence of the Lambs, The (1991)",Thriller,Thriller,4.6126
5,31,Star Wars (1977),Sci-Fi,Action|Adventure|Sci-Fi,4.8494
5,33,Fargo (1996),Crime,Crime|Drama|Thriller,4.6991
5,26,"Shawshank Redemption, The (1994)",Drama,Drama,4.9263
5,30,Schindler's List (1993),Drama,Drama,3.8647
6,26,"Shawshank Redemption, The (1994)",Drama,Drama,4.4137
